,City,Country,Latitude,Longitude
0,A Coruña,Spain,43.3709703,-8.3959425
1,Aachen,Germany,50.776351,6.083862
2,Aalborg,Denmark,57.0462626,9.9215263
3,Aba,Nigeria,5.1128008,7.3651376
4,Abadan,Iran,30.3636097,48.2591475
5,Abakaliki,Nigeria,6.3208897,8.1133202
6,Abakan,Russia,53.72068,91.4406019
7,Abbotsford,Canada,49.0521162,-122.329479
8,Abengourou,Côte D'Ivoire,6.667663,-3.5107449
9,Abeokuta,Nigeria,7.1547129,3.3467344
10,Aberdeen,United Kingdom,57.1482429,-2.0928095
11,Abha,Saudi Arabia,18.2164282,42.5043596
12,Abidjan,Côte D'Ivoire,5.320357,-4.016107
13,Abiko,Japan,35.863999,140.0280653
14,Abilene,United States,32.44645,-99.7475905
15,Abohar,India,30.1450543,74.1956597
16,Abomey Calavi,Benin,6.5109623,2.3303076
17,Abu Dhabi,United Arab Emirates,24.4538352,54.3774014
18,Abuja,Nigeria,9.0643305,7.4892974
19,Acapulco,Mexico,16.8680495,-99.8940182
20,Acarigua,Venezuela,9.5507961,-69.2032823
21,Accra,Ghana,5.5571096,-0.2012376
22,Achalpur,India,21.2407925,77.427797
23,Acheng,China,45.5362499,126.9694447
24,Achinsk,Russia,56.2694846,90.4953964
25,Acuña,Mexico,29.3248796,-100.9322287
26,Adana,Turkey,36.9863599,35.3252861
27,Addis Abeba,Ethiopia,9.0358287,38.7524127
28,Adelaide,Australia,-34.9281805,138.5999312
29,Aden,Yemen,12.833333,44.916667
30,Adilabad,India,19.6759452,78.5339895
31,Adiwerna,Indonesia,-6.9375,109.1325
32,Adoni,India,15.6559189,77.2697737
33,Afyonkarahisar,Turkey,38.6852729,30.6427411
34,Agadir,Morocco,30.4205162,-9.5838532
35,Agartala,India,23.8312377,91.2823821
36,Agboville,Côte D'Ivoire,5.931283,-4.2106525
37,Ageo,Japan,35.9774082,139.5930504
38,Agra,India,27.1752554,78.0098161
39,Aguascalientes,Mexico,22.0000001,-102.5000001
40,Ahmadabad,India,23.0216238,72.5797068
41,Ahmadnagar,India,19.074352,74.7219979
42,Ahmadpur East,Pakistan,29.2800515,71.1599395
43,Ahvaz,Iran,31.3230637,48.67932
44,Aix En Provence,France,43.5298424,5.4474738
45,Aizawl,India,23.7435236,92.7382905
46,Ajdabiya,Libya,30.7550035,20.2233257
47,Ajmer,India,26.4691,74.639
48,Akashi,Japan,34.6832635,134.9476925
49,Akishima,Japan,35.70248,139.350065
50,Akita,Japan,39.6898802,140.342608
51,Akola,India,20.7618122,77.1921157
52,Akron,United States,41.083064,-81.518485
53,Aksaray,Turkey,38.4326291,33.8976963
54,Aksu,China,41.1677575,80.2582136
55,Aktau,Kazakhstan,43.6353364,51.168222
56,Akure,Nigeria,7.2525595,5.1932647
57,Akyab,Burma,20.15,92.9
58,Alagoinhas,Brazil,-12.133526,-38.420772
59,Alandur,India,13.0028216,80.1719186
60,Alanya,Turkey,36.5436517,32.0019211
61,Alappuzha,India,9.4980001,76.333482
62,Albacete,Spain,38.9950921,-1.8559154
63,Alberton,South Africa,-26.2529561,28.1270777
64,Albuquerque,United States,35.0841034,-106.650985
65,Albury,Australia,-36.0737134,146.9135326
66,Alcalá De Henares,Spain,40.4818396,-3.3644973
67,Alcobendas,Spain,40.5400082,-3.6358494
68,Alcorcón,Spain,40.3492998,-3.8284295
69,Aleppo,Syria,36.19924,37.1637253
70,Alexandria,Egypt,31.1991806,29.8951716
71,Algeciras,Spain,36.1311725,-5.4473991
72,Algiers,Algeria,36.7753606,3.0601882
73,Aligarh,India,27.833333,78.166667
74,Allahabad,India,25.4381302,81.8338005
75,Allentown,United States,40.6022059,-75.4712794
76,Almaty,Kazakhstan,43.2363924,76.9457275
77,Almere,Netherlands,52.3705038,5.2185859
78,Almería,Spain,36.8414197,-2.4628135
79,Almetyevsk,Russia,54.9005008,52.2963777
80,Alor Setar,Malaysia,6.1231908,100.3683962
81,Altay,China,47.1001782,88.4341751
82,Alwar,India,27.5,76.5
83,Amadora,Portugal,38.758959,-9.2365233
84,Amagasaki,Japan,34.7288995,135.412989
85,Amaigbo,Nigeria,5.7291619,7.1164592
86,Amarillo,United States,35.2072185,-101.833824
87,Ambala,India,30.3843674,76.770421
88,Ambarnath,India,19.1435568,73.2970409
89,Ambato,Ecuador,-1.2422413,-78.6287594
90,Ambattur,India,13.1128863,80.1598624
91,Ambon,Indonesia,-3.6959434,128.178785
92,Ambur,India,12.7929067,78.6999168
93,Americana,Brazil,-22.7392463,-47.3306032
94,Amersfoort,Netherlands,52.1562499,5.3896944
95,Amiens,France,49.8941708,2.2956951
96,Amol,Iran,36.4718947,52.3499009
97,Amravati,India,21.1545412,77.6442962
98,Amritsar,India,31.6343083,74.8736788
99,Amroha,India,28.9675713,78.5397003
100,Amsterdam,Netherlands,52.3730796,4.8924534
101,Anaco,Venezuela,9.432191,-64.466834
102,Anaheim,United States,33.8347516,-117.911732
103,Anand,India,22.5586555,72.9627227
104,Ananindeua,Brazil,-1.374035,-48.4016623
105,Anantapur,India,14.6546235,77.5562598
106,Anbu,China,23.4522811,116.6778807
107,Anchorage,United States,61.2163129,-149.894852
108,Ancona,Italy,43.4801204,13.2187906
109,Anda,China,46.4114331,125.3285572
110,Andijon,Uzbekistan,40.7833471,72.3506746
111,Angarsk,Russia,52.5311117,103.8826109
112,Angeles,Philippines,15.1389351,120.5875321
113,Angers,France,47.4739884,-0.5515588
114,Angra Dos Reis,Brazil,-23.0063966,-44.316326
115,Angren,Uzbekistan,41.0212207,70.0795361
116,Anjo,Japan,34.947764,137.075563
117,Ankang,China,32.7165184,108.9912989
118,Ankara,Turkey,39.9207759,32.8540497
119,Ann Arbor,United States,42.2681569,-83.7312291
120,Anqing,China,30.6592336,116.6302585
121,Anqiu,China,36.4794705,119.2129818
122,Anshan,China,41.1075962,122.9902291
123,Anshun,China,26.254911,105.9437773
124,Antakya,Turkey,36.2036546,36.1637648
125,Antalya,Turkey,36.8864752,30.7029585
126,Antananarivo,Madagascar,-18.7791487,46.7121716
127,Antioch,United States,38.0049214,-121.805789
128,Antipolo,Philippines,14.5871972,121.1759246
129,Antofagasta,Chile,-23.6463741,-70.3980033
130,Antsirabe,Madagascar,-19.871403,47.034667
131,Antwerp,Belgium,51.2211097,4.3997081
132,Anyama,Côte D'Ivoire,5.4958898,-4.056921
133,Anyang,China,36.1023552,114.33633
134,Anápolis,Brazil,-16.3332828,-48.9525756
