,City,Country,Latitude,Longitude
2400,Porto,Portugal,41.1494512,-8.6107884
2401,Porto Alegre,Brazil,-30.0324999,-51.2303767
2402,Portoviejo,Ecuador,-1.0528066,-80.4534269
2403,Portsmouth,United Kingdom,50.800031,-1.0906023
2404,Posadas,Argentina,-27.4035083,-55.9497118
2405,Potchefstroom,South Africa,-26.7150922,27.1013887
2406,Potgietersrus,South Africa,-24.183333,29.016667
2407,Potosí,Bolivia,-20.666667,-66.666667
2408,Potsdam,Germany,52.4009309,13.0591397
2409,Pouso Alegre,Brazil,-22.2343858,-45.9327241
2410,Poznan,Poland,52.4006632,16.9197326
2411,Poá,Brazil,-30.0324999,-51.2303767
2412,Poços De Caldas,Brazil,-21.7900318,-46.5647928
2413,Prabumulih,Indonesia,-3.4382688,104.2310181
2414,Prague,Czech Republic,50.0874654,14.4212535
2415,Praia Grande,Brazil,-24.008979,-46.4144939
2416,Prato,Italy,43.9357181,11.0941473
2417,Presidente Prudente,Brazil,-22.1225167,-51.3882528
2418,Preston,United Kingdom,53.7593363,-2.6992717
2419,Pretoria,South Africa,-25.7459277,28.1879101
2420,Pringsewu,Indonesia,-5.3666893,104.9722121
2421,Pristina,Serbia,44.7990015,20.4782072
2422,Prizren,Serbia,44.81892,20.45998
2423,Probolinggo,Indonesia,-7.86316,113.3051053
2424,Proddatur,India,14.7522659,78.5485518
2425,Prokopyevsk,Russia,53.890972,86.737663
2426,Providence,United States,41.8239891,-71.4128343
2427,Provo,United States,40.2337289,-111.6587085
2428,Pskov,Russia,57.8173923,28.3343465
2429,Pucallpa,Peru,-8.3820737,-74.5387507
2430,Pudukkottai,India,10.5,78.833333
2431,Puebla,Mexico,18.833333,-98.0
2432,Pueblo,United States,38.2544472,-104.609141
2433,Puerto Cabello,Venezuela,10.4677932,-68.0436682
2434,Puerto Montt,Chile,-41.471798,-72.9395915
2435,Puerto Plata,Dominican Republic,19.7893977,-70.6940515
2436,Puerto Princesa,Philippines,9.7376025,118.7350414
2437,Puerto Vallarta,Mexico,20.6407176,-105.220306
2438,Pulandian,China,39.6196998,122.3051303
2439,Pune,India,18.521428,73.8544541
2440,Puno,Peru,-15.0,-70.0
2441,Punta Arenas,Chile,-53.1625688,-70.907822
2442,Punto Fijo,Venezuela,11.6931716,-70.1917178
2443,Puqi,China,29.72817,113.8951222
2444,Puri,India,19.8076083,85.8252538
2445,Purnia,India,26.0,87.5
2446,Puruliya,India,23.333333,86.416667
2447,Purwakarta,Indonesia,-6.5607313,107.4439799
2448,Purwodadi,Indonesia,-8.3625137,112.8515518
2449,Purwokerto,Indonesia,-7.4279011,109.2408501
2450,Purworejo,Indonesia,-7.7073021,109.9665117
2451,Puyang,China,35.7631348,115.0234071
2452,Pyatigorsk,Russia,44.039775,43.0706669
2453,Pyay,Burma,18.816667,95.216667
2454,Pátrai,Greece,38.246242,21.7350847
2455,Pécs,Hungary,46.0765092,18.2280317
2456,Pétionville,Haiti,18.5132181,-72.2860209
2457,Pôrto Seguro,Brazil,-16.443473,-39.064251
2458,Pôrto Velho,Brazil,-8.7494525,-63.8735438
2459,Qabis,Tunisia,33.8374199,10.0336686
2460,Qalyub,Egypt,30.178875,31.206436
2461,Qandahar,Afghanistan,31.6205738,65.7157573
2462,Qarchak,Iran,35.4421824,51.5697005
2463,Qazvin,Iran,36.0156291,49.8398161
2464,Qena,Egypt,26.0105579,33.1299211
2465,Qianguo,China,31.5645509,117.9819442
2466,Qianjiang,China,30.4049826,112.8940372
2467,Qingdao,China,36.0638034,120.3781372
2468,Qingyuan,China,23.6832984,113.0505994
2469,Qinhuangdao,China,39.9395724,119.5894129
2470,Qinzhou,China,34.5797531,105.7062921
2471,Qiqihar,China,47.3392424,123.9495373
2472,Qitaihe,China,45.7703578,131.0066556
2473,Qom,Iran,34.6422939,50.8801184
2474,Qostanay,Kazakhstan,52.0615626,62.9372689
2475,Quanzhou,China,24.8755492,118.6723605
2476,Quchan,Iran,37.105993,58.5108056
2477,Quebec,Canada,52.4760892,-71.8258668
2478,Queenstown,South Africa,-31.891667,26.881944
2479,Queimados,Brazil,-22.7156978,-43.555754
2480,Quelimane,Mozambique,-17.87751,36.890216
2481,Queluz,Portugal,38.7604252,-9.2559895
2482,Querétaro,Mexico,20.5927744,-100.3902245
2483,Quetta,Pakistan,30.1957677,67.0172447
2484,Quetzaltenango,Guatemala,14.7360257,-91.6152074
2485,Quevedo,Ecuador,-1.0243508,-79.4663323
2486,Qui Nhon,Vietnam,13.770409,109.232667
2487,Quilpue,Chile,-33.0498135,-71.4415282
2488,Quito,Ecuador,-0.2201641,-78.5123274
2489,Qujing,China,25.4936418,103.7943084
2490,Qunduz,Afghanistan,36.7175566,68.8672916
2491,Rabak,Sudan,13.1844655,32.7398062
2492,Rabat,Morocco,34.02236,-6.8340222
2493,Rach Gia,Vietnam,10.0107104,105.0832623
2494,Radom,Poland,51.4022557,21.1541546
2495,Rae Bareli,India,26.25,81.25
2496,Rafsanjan,Iran,30.402184,55.9941776
2497,Raichur,India,16.083333,77.166667
2498,Raiganj,India,25.6806539,88.1246458
2499,Raigarh,India,22.5,83.5
2500,Raipur,India,21.2380912,81.6336993
2501,Rajamahendri,India,17.011147,81.77355
2502,Rajapalaiyam,India,9.4522179,77.5607781
2503,Rajkot,India,22.3053263,70.8028377
2504,Rajpur,India,25.0767951,84.2013638
2505,Rajshahi,Bangladesh,24.6285432,89.0376862
2506,Raleigh,United States,35.7803977,-78.6390989
2507,Ramat Gan,Israel,32.0686867,34.8246812
2508,Ramnicu Valcea,Romania,45.1031731,24.3647209
2509,Rampur,India,24.890091,83.7325427
2510,Rancaekek,Indonesia,-6.9648801,107.7559578
2511,Rancagua,Chile,-34.170249,-70.7407427
2512,Ranchi,India,23.3700501,85.3250387
2513,Rancho Cucamonga,United States,34.1033192,-117.5751735
2514,Randfontein,South Africa,-26.173611,27.694167
2515,Ranghulu,China,46.731266,124.7891124
2516,Rangkasbitung,Indonesia,-6.3526482,106.2515306
2517,Rangoon,Burma,16.7967129,96.1609916
2518,Rangpur,Bangladesh,25.6376135,89.0826381
2519,Raniganj,India,25.7992923,82.0632794
2520,Rantauprapat,Indonesia,2.100033,99.8271936
2521,Rasht,Iran,37.2793607,49.5846102
2522,Ratisbon,Germany,49.0195333,12.0974869
2523,Ratlam,India,23.583333,75.166667
2524,Raurkela,India,22.2142849,84.8724369
2525,Ravenna,Italy,44.3640607,12.0590095
2526,Rawalpindi,Pakistan,33.5914237,73.0535122
2527,Rawang,Malaysia,3.3189044,101.5750187
2528,Rayong,Thailand,12.7943716,101.3705344
2529,Reading,United Kingdom,51.4564242,-0.9700664
