,City,Country,Latitude,Longitude
2800,Siegen,Germany,50.8749804,8.0227233
2801,Siirt,Turkey,37.8646916,42.0510294
2802,Sikar,India,27.583333,75.166667
2803,Sikasso,Mali,11.482629,-6.8607855
2804,Silchar,India,24.8178611,92.7562208
2805,Simi Valley,United States,34.2677404,-118.7538071
2806,Sincelejo,Colombia,9.3154293,-75.4329765
2807,Singapore,Singapore,1.357107,103.8194992
2808,Singaraja,Indonesia,-8.1133599,115.0839326
2809,Singkawang,Indonesia,0.9069861,108.9889657
2810,Sinnar,Sudan,13.0,33.5
2811,Sioux Falls,United States,43.5488256,-96.7307737
2812,Sirajganj,Bangladesh,24.4566253,89.7081281
2813,Sirjan,Iran,29.4458687,55.6704717
2814,Sirsa,India,29.583333,75.083333
2815,Sitapur,India,27.6265662,80.6824125
2816,Sivas,Turkey,39.4191717,37.1012388
2817,Siverek,Turkey,37.7540905,39.3177426
2818,Siwan,India,26.2632466,84.3225496
2819,Skopje,Macedonia,41.9961816,21.4319213
2820,Slough,United Kingdom,51.5111014,-0.5940682
2821,Smolensk,Russia,54.7814057,32.0461261
2822,Soacha,Colombia,4.5821413,-74.2197178
2823,Sobral,Brazil,-3.6879135,-40.3456372
2824,Soc Trang,Vietnam,9.5628369,105.9493991
2825,Sochi,Russia,43.5854823,39.723109
2826,Sofia,Bulgaria,42.6977028,23.3217359
2827,Sogamoso,Colombia,5.7148307,-72.9279328
2828,Sohag,Egypt,26.7624628,32.0909936
2829,Soka,Japan,35.8262233,139.8061784
2830,Sokodé,Togo,8.9874175,1.1357852
2831,Sokoto,Nigeria,13.0611195,5.3152203
2832,Soledad,Colombia,10.9149593,-74.7821054
2833,Solikamsk,Russia,59.649437,56.779594
2834,Solingen,Germany,51.1721629,7.0845893
2835,Somerset West,South Africa,-34.0822195,18.8489342
2836,Songea,Tanzania,-10.6787282,35.6483576
2837,Sonipat,India,28.9953758,77.0233627
2838,Soreang,Indonesia,-7.0268685,107.5167964
2839,Sorocaba,Brazil,-23.5003451,-47.4582864
2840,Sorong,Indonesia,-0.8634105,131.2544805
2841,Sosnowiec,Poland,50.2780834,19.1342944
2842,Soubré,Côte D'Ivoire,5.7852673,-6.5928329
2843,South Bend,United States,41.6833813,-86.2500066
2844,Southampton,United Kingdom,50.9025349,-1.404189
2845,Southend On Sea,United Kingdom,51.5388241,0.7128137
2846,Soweto,South Africa,-26.2227778,27.89
2847,Soyapango,El Salvador,13.7036577,-89.1501583
2848,Spanish Town,Jamaica,17.9956926,-76.9540831
2849,Split,Croatia,43.5116383,16.4399659
2850,Spokane,United States,47.6571934,-117.42351
2851,Spring Valley,United States,29.7896722,-95.5035529
2852,Springfield,United States,39.7990175,-89.6439575
2853,Springs,South Africa,-26.243056,28.431667
2854,Srikakulam,India,18.320022,83.9160772
2855,Srinagar,India,34.0747444,74.8204443
2856,Stamford,United States,41.0534302,-73.5387341
2857,Stara Zagora,Bulgaria,42.4248111,25.6257479
2858,Staryy Oskol,Russia,51.29667,37.84167
2859,Stavanger,Norway,58.9699675,5.7318101
2860,Stavropol,Russia,44.8632577,43.4406913
2861,Sterling Heights,United States,42.5803122,-83.0302033
2862,Sterlitamak,Russia,53.632374,55.952259
2863,Stockholm,Sweden,59.3251172,18.0710935
2864,Stockport,United Kingdom,53.407901,-2.160243
2865,Stockton,United States,37.9577016,-121.2907796
2866,Stoke On Trent,United Kingdom,53.0162014,-2.1812607
2867,Strasbourg,France,48.584614,7.7507127
2868,Stuttgart,Germany,48.7784485,9.1800132
2869,Subang,Indonesia,-6.5689807,107.7587397
2870,Suceava,Romania,47.5326534,25.8345939
2871,Sucre,Bolivia,-19.0477251,-65.2594306
2872,Sudbury,Canada,46.49272,-80.991211
2873,Suez,Egypt,29.974498,32.537086
2874,Suihua,China,46.6520483,126.9607485
2875,Suining,China,30.5061493,105.574542
2876,Suita,Japan,34.764884,135.51735
2877,Sujiatun,China,41.6626981,123.3379327
2878,Sukabumi,Indonesia,-7.0764509,106.7346608
2879,Sukaraja,Indonesia,-6.8901546,107.5662896
2880,Sukkur,Pakistan,27.6961883,68.8588754
2881,Suleja,Nigeria,9.2081656,7.1871897
2882,Sullana,Peru,-4.5684496,-80.6446943
2883,Sultanpur,India,26.334105,81.9813668
2884,Sumaré,Brazil,-22.8217964,-47.267105
2885,Sumedang,Indonesia,-6.8098713,107.9817732
2886,Sumy,Ukraine,50.9119775,34.8027723
2887,Sunderland,United Kingdom,54.9058512,-1.3828727
2888,Sungai Petani,Malaysia,5.6435195,100.4869513
2889,Sunggal,Indonesia,3.5754225,98.6142296
2890,Sunnyvale,United States,37.3688301,-122.036349
2891,Sunrise Manor,United States,36.1972977,-115.0452917
2892,Sur,Lebanon,33.2721211,35.1964023
2893,Surabaya,Indonesia,-7.2459717,112.7378266
2894,Surakarta,Indonesia,-7.5692489,110.828448
2895,Surat,India,21.2094892,72.8317058
2896,Surat Thani,Thailand,9.4674663,98.830042
2897,Surendranagar,India,22.75,71.666667
2898,Surgut,Russia,61.254032,73.3964
2899,Suriapet,India,17.14054,79.62045
2900,Surt,Libya,31.2059625,16.5836206
2901,Susah,Tunisia,35.82539,10.63699
2902,Sutton Coldfield,United Kingdom,52.5623089,-1.8239794
2903,Suzano,Brazil,-23.5427842,-46.3108391
2904,Suzhou,China,31.3016935,120.5810725
2905,Suzuka,Japan,34.8817102,136.5836516
2906,Swansea,United Kingdom,51.6195955,-3.9459248
2907,Swindon,United Kingdom,51.5613683,-1.7856853
2908,Sydney,Australia,-33.8698439,151.2082848
2909,Syktyvkar,Russia,61.6685237,50.8352024
2910,Syracuse,Italy,37.0646139,15.2907196
2911,Syzran,Russia,53.15538,48.474121
2912,Szczecin,Poland,53.4301818,14.5509623
2913,Szeged,Hungary,46.2546312,20.1486016
2914,Székesfehérvár,Hungary,47.1910169,18.410811
2915,São Bernardo Do Campo,Brazil,-23.7080345,-46.5506747
2916,São Caetano Do Sul,Brazil,-23.6195923,-46.5688323
2917,São Carlos,Brazil,-22.0180395,-47.891154
2918,São Gonçalo,Brazil,-22.8219014,-43.0309252
2919,São José,Brazil,-27.6157733,-48.6276491
2920,São José Do Rio Prêto,Brazil,-20.8125851,-49.3804212
2921,São José Dos Campos,Brazil,-23.1867782,-45.8854538
2922,São José Dos Pinhais,Brazil,-25.533816,-49.2072163
2923,São João De Meriti,Brazil,-22.8043744,-43.3724125
2924,São Leopoldo,Brazil,-29.7544405,-51.1516497
2925,São Luís,Brazil,-2.5295265,-44.2963942
2926,São Paulo,Brazil,-23.5506507,-46.6333824
2927,São Vicente,Brazil,-23.9664177,-46.3861401
2928,Tabora,Tanzania,-5.1913822,32.5080629
2929,Taboão Da Serra,Brazil,-23.6121912,-46.7790539
2930,Tabriz,Iran,38.0738612,46.2978789
2931,Tabuk,Saudi Arabia,28.3251866,37.6328648
2932,Tachikawa,Japan,35.724463,139.404766
2933,Tacloban,Philippines,11.2436208,125.0079543
2934,Tacna,Peru,-17.666667,-70.333333
2935,Tacoma,United States,47.2455013,-122.438329
2936,Tadepallegudem,India,16.8165294,81.5296984
2937,Taganrog,Russia,47.2392184,38.8755031
2938,Tagum,Philippines,7.4470234,125.8111811
2939,Taian,China,32.4610822,119.5121511
2940,Taicheng,China,22.2504163,112.7965842
2941,Taichung,Taiwan,24.163162,120.6478282
2942,Tainan,Taiwan,22.9912348,120.184982
2943,Taipei,Taiwan,25.0375198,121.5636796
2944,Taiping,Malaysia,4.8546772,100.7438831
2945,Taitung,Taiwan,22.7553667,121.1506
2946,Taiyuan,China,37.870009,112.5452739
2947,Taizhou,China,28.6581723,121.4163876
2948,Tajimi,Japan,35.3329961,137.1319459
2949,Takaoka,Japan,36.7362147,137.0187306
2950,Takarazuka,Japan,34.8659057,135.3257734
2951,Takasaki,Japan,36.3220984,139.0032758
