,City,Country,Latitude,Longitude
2000,Murmansk,Russia,68.970665,33.07497
2001,Murom,Russia,55.5738,42.0447
2002,Murwara,India,23.8339621,80.392456
2003,Musashino,Japan,35.712898,139.563534
2004,Musoma,Tanzania,-1.4998186,33.8083018
2005,Mutare,Zimbabwe,-19.2488616,32.4377479
2006,Muzaffargarh,Pakistan,30.0778083,71.1888419
2007,Muzaffarnagar,India,29.5417823,77.6430112
2008,Muzaffarpur,India,26.1667052,85.4166314
2009,Mwanza,Tanzania,-2.5196915,32.9014417
2010,Mwene Ditu,Congo (Democratic Republic Of The),-7.00906,23.45278
2011,My Tho,Vietnam,10.3606197,106.3658439
2012,Myingyan,Burma,21.4587531,95.3924129
2013,Mytishchi,Russia,55.9094928,37.7339358
2014,Málaga,Spain,36.7213028,-4.4216366
2015,Médéa,Algeria,35.9752045,3.0123504
2016,Mérida,Mexico,20.9670759,-89.6237402
2017,Móstoles,Spain,40.3238525,-3.8649214
2018,Mönchengladbach,Germany,51.1947131,6.4353792
2019,Mülheim,Germany,51.4272925,6.8829192
2020,Münster,Germany,51.9625101,7.6251879
2021,Nacala,Mozambique,-14.5583059,40.6863816
2022,Nadiad,India,22.6895535,72.8713603
2023,Nador,Morocco,35.0517394,-2.8246509
2024,Naga,Philippines,13.6240122,123.1850318
2025,Nagaoka,Japan,37.446996,138.8512199
2026,Nagareyama,Japan,35.8562314,139.9026259
2027,Nagda,India,23.4578957,75.4191114
2028,Nagercoil,India,8.1880471,77.4290492
2029,Nagoya,Japan,35.1851045,136.8998438
2030,Nagpur,India,21.1498134,79.0820556
2031,Naihati,India,22.8886213,88.4239345
2032,Nairobi,Kenya,-1.2832533,36.8172449
2033,Najran,Saudi Arabia,18.0,45.666667
2034,Nakhodka,Russia,42.8246489,132.8926
2035,Nakhon Pathom,Thailand,13.8918425,100.0165659
2036,Nakhon Ratchasima,Thailand,15.2241917,101.9313754
2037,Nakhon Si Thammarat,Thailand,8.6772337,99.7309635
2038,Nakuru,Kenya,-0.2802724,36.0712048
2039,Nalchik,Russia,43.4769604,43.5966578
2040,Nalgonda,India,17.0504406,79.2669235
2041,Nam Dinh,Vietnam,20.2686476,106.2289075
2042,Namangan,Uzbekistan,41.0036287,71.2611952
2043,Nampula,Mozambique,-14.966969,39.2707752
2044,Namur,Belgium,50.4665284,4.8661892
2045,Nancha,China,47.054532,129.36213
2046,Nanchang,China,28.687547,115.8540042
2047,Nanchong,China,30.8401171,106.1066076
2048,Nancy,France,48.6937223,6.1834097
2049,Nanded,India,19.0940088,77.4831922
2050,Nandurbar,India,21.5145015,74.5407011
2051,Nandyal,India,15.4753773,78.4785576
2052,Nangloi Jat,India,28.6786,77.06749
2053,Nanjing,China,32.0615513,118.7915619
2054,Nanning,China,22.8193063,108.3627211
2055,Nanpiao,China,41.03626,120.7689143
2056,Nantes,France,47.2186371,-1.5541362
2057,Nantong,China,31.9827896,120.8904588
2058,Nantou,Taiwan,23.90235,120.6909167
2059,Nanyang,China,33.0010496,112.5292693
2060,Naperville,United States,41.7728699,-88.1479278
2061,Naples,Italy,40.8358846,14.2487679
2062,Narashino,Japan,35.670572,140.018956
2063,Narayanganj,Bangladesh,23.6236732,90.4988075
2064,Narita,Japan,35.7767683,140.3183376
2065,Narsingdi,Bangladesh,23.9197152,90.7152981
2066,Nashville,United States,36.1622767,-86.7742984
2067,Nassau,Bahamas,25.0782266,-77.3383438
2068,Natal,Brazil,-5.805398,-35.2080905
2069,Naucalpan,Mexico,19.4788356,-99.2327986
2070,Navadwip,India,23.4067,88.36861
2071,Navoi,Uzbekistan,42.0,64.0
2072,Navsari,India,20.952407,72.9323831
2073,Nawabganj,Bangladesh,24.5954428,88.2707613
2074,Nawabshah,Pakistan,26.2452915,68.4040229
2075,Nazilli,Turkey,37.9097512,28.3242062
2076,Nazran,Russia,43.2320774,44.7540128
2077,Nazret,Ethiopia,8.5410261,39.2705461
2078,Ndola,Zambia,-12.9693056,28.6365894
2079,Neftekamsk,Russia,56.0884031,54.2478094
2080,Nefteyugansk,Russia,61.090309,72.6101
2081,Negombo,Sri Lanka,7.2094282,79.833117
2082,Nehe,China,48.4540245,125.119851
2083,Neijiang,China,29.6602202,104.9192806
2084,Neiva,Colombia,2.9257038,-75.2893937
2085,Nelspruit,South Africa,-25.481944,30.984722
2086,Netanya,Israel,32.3286181,34.8566246
2087,Neuquen,Argentina,-38.3695057,-69.832275
2088,Neuss,Germany,51.1981778,6.6916476
2089,Nevinnomyssk,Russia,44.6245814,41.9475941
2090,New Delhi,India,28.6138954,77.2090057
2091,New Haven,United States,41.3082138,-72.9250518
2092,New Orleans,United States,29.9759983,-90.0782127
2093,New York,United States,40.7127281,-74.0060152
2094,Newark,United States,40.735657,-74.1723667
2095,Newcastle,Australia,-32.9192953,151.7795348
2096,Newcastle Upon Tyne,United Kingdom,54.9738474,-1.6131572
2097,Newport,United Kingdom,51.5882332,-2.9974967
2098,Newport News,United States,36.9775016,-76.42977
2099,Neyagawa,Japan,34.76751,135.633907
2100,Neyshabur,Iran,36.2105604,58.7922291
2101,Neyveli,India,11.535987,79.4824392
2102,Nezahualcóyotl,Mexico,19.4079028,-99.0181547
2103,Ngaoundéré,Cameroon,7.3211536,13.5878214
2104,Nguru,Nigeria,12.875615,10.4540091
2105,Nha Trang,Vietnam,12.2431693,109.1898675
2106,Niamey,Niger,13.524834,2.109823
