,City,Country,Latitude,Longitude
1200,Huainan,China,32.5866826,117.0130019
1201,Huaiyin,China,36.6522591,116.8955753
1202,Huambo,Angola,-12.6076318,15.7411039
1203,Huancayo,Peru,-12.068098,-75.2100953
1204,Huangcun,China,23.1344798,113.4015189
1205,Huangpu,China,31.2335925,121.479864
1206,Huangyan,China,28.65319,121.2576325
1207,Huangzhou,China,30.4369576,114.8750766
1208,Hubli,India,15.3518378,75.1379848
1209,Huddersfield,United Kingdom,53.6466645,-1.7822482
1210,Hue,Vietnam,16.4639321,107.5863388
1211,Huelva,Spain,37.2575874,-6.9484945
1212,Huicheng,China,23.0870863,114.3775971
1213,Huixquilucan,Mexico,19.3709328,-99.3568074
1214,Huizhou,China,23.1146515,114.4107202
1215,Hulan,China,45.8881935,126.5850305
1216,Hulan Ergi,China,47.2074162,123.6294983
1217,Humen,China,22.816245,113.6684225
1218,Huntington Beach,United States,33.6783336,-118.0000166
1219,Huntsville,United States,34.729847,-86.5859011
1220,Huzhou,China,30.8942995,120.0851114
1221,Huánuco,Peru,-9.5,-75.833333
1222,Hyderabad,India,17.360589,78.4740613
1223,Hòa Bình,Vietnam,20.8252056,105.3431291
1224,Iasi,Romania,47.1615416,27.5837224
1225,Ibadan,Nigeria,7.3777462,3.8972497
1226,Ibagué,Colombia,4.43917,-75.2113267
1227,Ibaraki,Japan,36.2869536,140.4703384
1228,Ibarra,Ecuador,0.3520459,-78.1199716
1229,Ibb,Yemen,13.4115414,43.5570871
1230,Ibirité,Brazil,-20.0214251,-44.0621506
1231,Ica,Peru,-14.3325,-75.499722
1232,Ichalkaranji,India,16.6959348,74.4555755
1233,Ichihara,Japan,35.497775,140.1156996
1234,Ichikawa,Japan,35.729412,139.928568
1235,Ichinomiya,Japan,35.304878,136.806915
1236,Idlib,Syria,35.8595974,36.5713701
1237,Ife,Nigeria,7.482824,4.5604451
1238,Igboho,Nigeria,8.844257,3.757991
1239,Iguala,Mexico,18.3466358,-99.5376944
1240,Iida,Japan,35.5147101,137.8219519
1241,Ijero,Nigeria,7.8317358,5.0583553
1242,Ikare,Nigeria,6.418407,3.2355625
1243,Ikere,Nigeria,7.491328,5.232248
1244,Ikire,Nigeria,7.716667,4.233333
1245,Ikirun,Nigeria,7.916667,4.666667
1246,Ikole,Nigeria,7.7888484,5.5050471
1247,Ikoma,Japan,34.6915267,135.6961681
1248,Ikorodu,Nigeria,6.6191233,3.5041271
1249,Ikot Ekpene,Nigeria,5.181975,7.7132177
1250,Ila,Nigeria,7.666667,4.666667
1251,Ilam,Iran,33.1545696,46.7576343
1252,Ilawe,Nigeria,7.5989035,5.1057231
1253,Ilebo,Congo (Democratic Republic Of The),-4.33333,20.58333
1254,Ilesha,Nigeria,7.6245894,4.7414655
1255,Ilhéus,Brazil,-14.792599,-39.0453843
1256,Iligan,Philippines,8.2281556,124.2411508
1257,Ilobu,Nigeria,7.8408473,4.4853735
1258,Iloilo,Philippines,10.9522168,122.5799456
1259,Ilorin,Nigeria,8.4963657,4.5480484
1260,Imabari,Japan,34.0658182,132.9976758
1261,Imperatriz,Brazil,-5.5269279,-47.478115
1262,Imphal,India,24.7991162,93.9364419
1263,Inazawa,Japan,35.240484,136.758964
1264,Indaiatuba,Brazil,-23.0908356,-47.2180677
1265,Independence,United States,39.0924792,-94.4137923
1266,Indianapolis,United States,39.7683331,-86.1583502
1267,Indore,India,22.7203616,75.8681996
1268,Indramayu,Indonesia,-4.0517644,103.7798337
1269,Inegol,Turkey,40.0800359,29.5096528
1270,Inglewood,United States,33.9562003,-118.353132
1271,Ingolstadt,Germany,48.7630165,11.4250395
1272,Ingraj Bazar,India,25.0057449,88.1398483
1273,Inisa,Nigeria,7.985087,4.645545
1274,Innsbruck,Austria,47.2654296,11.3927685
1275,Ipatinga,Brazil,-19.4777807,-42.5270802
1276,Ipoh,Malaysia,4.5986817,101.0900236
1277,Ipswich,United Kingdom,52.0579324,1.1528095
1278,Iquique,Chile,-20.2140657,-70.1524646
1279,Iquitos,Peru,-3.749365,-73.2444145
1280,Iranshahr,Iran,27.2069903,60.6882515
1281,Irapuato,Mexico,20.6758761,-101.3521052
1282,Irbid,Jordan,32.5556091,35.8493023
1283,Irbil,Iraq,36.528412,44.4563064
1284,Iringa,Tanzania,-7.5662123,35.0744807
1285,Irkutsk,Russia,52.2891225,104.279829
1286,Iruma,Japan,35.8358142,139.3909293
1287,Irvine,United States,33.6856969,-117.8259819
1288,Irving,United States,32.8295183,-96.9442177
1289,Iráklion,Greece,35.33908,25.1332843
1290,Ise,Nigeria,6.4170528,4.2129931
1291,Isehara,Japan,35.4023968,139.2996106
1292,Isesaki,Japan,36.3111734,139.1968083
1293,Iseyin,Nigeria,7.9710106,3.5956141
1294,Ishinomaki,Japan,38.4341281,141.3028087
1295,Isiro,Congo (Democratic Republic Of The),2.77391,27.61603
1296,Iskenderun,Turkey,36.5902266,36.1710354
1297,Islamabad,Pakistan,33.6938118,73.0651511
1298,Ismailia,Egypt,30.3671977,32.1565462
1299,Isparta,Turkey,37.9465412,30.9602093
1300,Istanbul,Turkey,41.006381,28.9758715
1301,Itaboraí,Brazil,-22.7496231,-42.8557428
1302,Itabuna,Brazil,-14.793173,-39.2750341
1303,Itaguaí,Brazil,-22.8629597,-43.775322
1304,Itagüí,Colombia,6.1724352,-75.6093254
1305,Itajaí,Brazil,-26.9046787,-48.6552979
1306,Itami,Japan,34.786159,135.407994
1307,Itapecerica Da Serra,Brazil,-23.7176303,-46.8492435
1308,Itapetininga,Brazil,-23.588607,-48.048326
1309,Itapevi,Brazil,-23.54888,-46.933889
1310,Itaquaquecetuba,Brazil,-23.4754492,-46.3514033
1311,Itarsi,India,22.6122527,77.7782601
1312,Itu,Brazil,-23.2637798,-47.2998462
1313,Ivanovo,Russia,56.9984452,40.9737394
1314,Iwaki,Japan,37.0504227,140.8876338
1315,Iwakuni,Japan,34.1664995,132.2191163
1316,Iwatsuki,Japan,35.9500131,139.6943932
1317,Iwo,Nigeria,7.633333,4.183333
1318,Ixtapaluca,Mexico,19.3129326,-98.8840481
1319,Izhevsk,Russia,56.866557,53.2094166
1320,Izmir,Turkey,38.4237433,27.1428019
1321,Izmit,Turkey,40.7718611,29.9498078
1322,Izumi,Japan,34.43108,135.474789
1323,Jabalpur,India,23.1608938,79.9497702
1324,Jaboatão,Brazil,-8.1752476,-34.9468716
1325,Jacareí,Brazil,-23.3050682,-45.9723075
1326,Jackson,United States,32.2998686,-90.1830408
1327,Jacksonville,United States,30.3321838,-81.655651
1328,Jacobabad,Pakistan,28.2813094,68.4364361
1329,Jaffna,Sri Lanka,9.665093,80.0093029
1330,Jagadhri,India,30.1532045,77.3011957
1331,Jahrom,Iran,28.4961762,53.5593366
1332,Jaipur,India,26.9154576,75.8189817
1333,Jakarta,Indonesia,-6.175247,106.8270488
1334,Jalalabad,Afghanistan,34.430195,70.460128
1335,Jalandhar,India,31.3323762,75.576889
1336,Jalingo,Nigeria,8.8945377,11.3644261
1337,Jalna,India,19.918833,75.8708599
1338,Jalpaiguri,India,26.5241586,88.7197513
1339,Jamalpur,Bangladesh,24.9255866,89.9436684
1340,Jamame,Somalia,0.0785706,42.7497327
1341,Jambi,Indonesia,-1.6394711,102.9454264
1342,Jammu,India,32.7185614,74.8580917
1343,Jamnagar,India,22.4732415,70.0552102
1344,Jamshedpur,India,22.8015194,86.2029579
1345,Jamuria,India,23.7279289,87.1249887
1346,Jandira,Brazil,-23.5282246,-46.902003
1347,Jaraguá Do Sul,Brazil,-26.4897432,-49.0778063
1348,Jaramana,Syria,52.6393917,9.2071887
1349,Jaranwala,Pakistan,31.3330181,73.4183387
1350,Jaunpur,India,25.75,82.75
1351,Jaén,Spain,37.9557275,-3.4920556
1352,Jaú,Brazil,-22.293585,-48.559193
1353,Jember,Indonesia,-8.1688563,113.7021772
1354,Jequié,Brazil,-13.8604033,-40.0719627
1355,Jerez,Spain,36.6816936,-6.1377402
1356,Jersey City,United States,40.7215682,-74.047455
1357,Jerusalem,Israel,31.7788242,35.2257626
1358,Jetpur,India,21.7543725,70.6189391
1359,Jhang,Pakistan,31.2728805,72.3103071
1360,Jhansi,India,25.3548646,78.4256442
1361,Jhelum,Pakistan,32.9247256,73.719388
1362,Jhunjhunun,India,28.0,75.5
1363,Ji Paraná,Brazil,-10.8778148,-61.9277854
1364,Jiamusi,China,46.8037423,130.3747185
1365,Jian,China,27.0431288,114.9034181
1366,Jiangmen,China,22.5816619,113.0761073
1367,Jiangyin,China,31.9092756,120.2630426
1368,Jiangyou,China,31.7777135,104.73443
1369,Jiaohe,China,43.6848768,127.3578579
1370,Jiaojiang,China,28.6758042,121.4385711
1371,Jiaozhou,China,36.2640866,120.0284928
1372,Jiaozuo,China,35.2075729,113.2533977
1373,Jiaxing,China,30.7474425,120.7510971
1374,Jiayuguan,China,39.7722294,98.2885388
1375,Jiazi,China,19.100961,109.873545
1376,Jibuti,Djibouti,11.8145966,42.8453061
1377,Jiddah,Saudi Arabia,21.5810088,39.1653612
1378,Jieshi,China,37.2755331,121.8689373
1379,Jieshou,China,33.2619055,115.3540362
1380,Jilin,China,43.7289674,126.1997366
1381,Jimeta,Nigeria,9.2780486,12.4528047
1382,Jimma,Ethiopia,7.6756152,36.8478779
1383,Jinan,China,36.6507007,117.1140042
1384,Jinchang,China,38.449693,102.058389
1385,Jinchengjiang,China,24.6694836,107.8541551
1386,Jind,India,29.3018262,76.3384708
1387,Jingdezhen,China,29.2712774,117.1727822
1388,Jinhua,China,29.1080344,119.6486487
1389,Jining,China,35.4125047,116.5849266
1390,Jinxi,China,27.9211117,116.7492151
1391,Jinzhou,China,41.1087113,121.1186159
1392,Jiroft,Iran,28.6697367,57.7373382
1393,Jishou,China,28.265262,109.6938658
1394,Jishu,China,34.9555189,116.1920038
1395,Jiujiang,China,29.6653828,115.9474861
1396,Jiupu,China,25.7518495,104.5150541
1397,Jiutai,China,44.2473733,126.0575422
1398,Jiutepec,Mexico,18.8863894,-99.1701224
1399,Jixi,China,45.2928513,130.9619259
1400,Jodhpur,India,26.2967719,73.0351433
1401,Joetsu,Japan,37.1478816,138.2359501
1402,Johannesburg,South Africa,-26.205,28.049722
1403,Johor Bahru,Malaysia,1.503555,103.7495586
1404,Joinville,Brazil,-26.3044898,-48.8486726
1405,Joliet,United States,41.5263603,-88.0840212
1406,Jolo,Philippines,6.0536561,121.0002644
1407,Jombang,Indonesia,-7.561464,112.2413044
1408,Jos,Nigeria,9.9175125,8.8979401
1409,João Pessoa,Brazil,-7.1215981,-34.882028
1410,Juarez,Mexico,17.7006623,-93.1978917
1411,Juazeiro Do Norte,Brazil,-7.2153453,-39.3153336
1412,Juba,Sudan,12.1518352,24.4522866
1413,Juiz De Fora,Brazil,-21.7609533,-43.3501129
1414,Jujuy,Argentina,-23.3161458,-65.7595288
1415,Juliaca,Peru,-15.4932314,-70.1356177
1416,Junagadh,India,21.5174104,70.4642754
1417,Jundiaí,Brazil,-23.1887668,-46.884506
1418,Juàzeiro,Brazil,-9.4336959,-40.5068201
1419,Kabankalan,Philippines,9.9889153,122.8134802
1420,Kabul,Afghanistan,34.5260109,69.1776838
1421,Kabwe,Zambia,-14.4434056,28.4465166
1422,Kadoma,Japan,34.728801,135.59691
1423,Kaduna,Nigeria,10.3825318,7.8533226
1424,Kahramanmaras,Turkey,37.7830345,36.830655
1425,Kaifeng,China,34.604167,114.497222
1426,Kaili,China,26.5710542,107.9769525
1427,Kaithal,India,29.8228207,76.3783099
1428,Kaiyuan,China,42.5434674,124.0382894
1429,Kakamigahara,Japan,35.3995831,136.8485648
1430,Kakinada,India,16.9971671,82.2457999
1431,Kakogawa,Japan,34.786771,134.8498955
