,City,Country,Latitude,Longitude
400,Bohicon,Benin,7.1816331,2.0695683
401,Bojnurd,Iran,37.4759752,57.3319881
402,Bokaro,India,23.6991279,85.9910689
403,Boksburg,South Africa,-26.2124639,28.2617471
404,Bologna,Italy,44.4938203,11.3426327
405,Bolton,United Kingdom,53.5782863,-2.4300367
406,Boma,Congo (Democratic Republic Of The),4.08979,25.90532
407,Bombay,India,19.0815772,72.8866275
408,Bonn,Germany,50.735851,7.10066
409,Bontang,Indonesia,0.1236548,117.471708
410,Bordeaux,France,44.841225,-0.5800364
411,Borujerd,Iran,33.8943281,48.7560936
412,Boshan,China,36.494716,117.8567023
413,Boston,United States,42.3554334,-71.060511
414,Botad,India,22.1686,71.6685
415,Botosani,Romania,47.8528263,26.759334
416,Botshabelo,South Africa,-29.232412,26.733255
417,Bottrop,Germany,51.521581,6.929204
418,Botucatu,Brazil,-22.8879628,-48.4410712
419,Bouaké,Côte D'Ivoire,7.6906058,-5.0298408
420,Boulogne Billancourt,France,48.8356649,2.240206
421,Bournemouth,United Kingdom,50.7201514,-1.8799118
422,Bozhou,China,33.8579594,115.772453
423,Bradford,United Kingdom,53.7944229,-1.7519186
424,Braga,Portugal,41.5510583,-8.4280045
425,Bragança Paulista,Brazil,-22.9520235,-46.5418586
426,Brahmapur,India,19.2999041,84.8071371
427,Braila,Romania,45.2716092,27.9742932
428,Brakpan,South Africa,-26.235278,28.37
429,Brasov,Romania,45.6525105,25.6105654
430,Brasília,Brazil,-10.3333333,-53.2
431,Bratislava,Slovakia,48.1516988,17.1093063
432,Bratsk,Russia,56.1517085,101.6334907
433,Brazzaville,Congo,-4.2694407,15.2712256
434,Brebes,Indonesia,-7.0520711,108.888136
435,Breda,Netherlands,51.5887845,4.7760237
436,Bremen,Germany,53.0758196,8.8071646
437,Bremerhaven,Germany,53.5505392,8.5851945
438,Brescia,Italy,45.7795804,10.425873
439,Brest,Belarus,52.093751,23.6851851
440,Bridgeport,United States,41.1670412,-73.2048348
441,Brighton,United Kingdom,50.8214626,-0.1400561
442,Brikama,Gambia,13.258513,-16.4997039
443,Brisbane,Australia,-27.4689682,153.0234991
444,Bristol,United Kingdom,51.4538022,-2.5972985
445,Brits,South Africa,-25.6297222,27.7841667
446,Brno,Czech Republic,49.1922443,16.6113382
447,Brownsville,United States,25.9015688,-97.4984005
448,Brugge,Belgium,51.2085526,3.226772
449,Brunswick,Germany,52.2646577,10.5236066
450,Brussels,Belgium,50.8550018,4.3512334
451,Bryansk,Russia,53.2423778,34.3668288
452,Bucaramanga,Colombia,7.1255169,-73.1182624
453,Bucharest,Romania,44.4361414,26.1027202
454,Budapest,Hungary,47.4978918,19.0401609
455,Budaun,India,28.0174669,79.1177591
456,Buenaventura,Colombia,3.8881929,-77.0738324
457,Buffalo,United States,42.8867166,-78.8783922
458,Buga,Colombia,3.9000578,-76.302013
459,Bugama,Nigeria,4.7340705,6.863451
460,Buhe,China,30.287567,112.229788
461,Bujumbura,Burundi,-3.3638125,29.3675028
462,Bukan,Iran,36.5215096,46.2111837
463,Bukavu,Congo (Democratic Republic Of The),-2.4982396,28.8549055
464,Bukit Mertajam,Malaysia,5.364244,100.4609767
465,Bulandshahr,India,28.416667,77.833333
466,Bulaon,Philippines,15.0864351,120.6663126
467,Bulawayo,Zimbabwe,-20.1053948,28.5426856
468,Buon Me Thuot,Vietnam,12.6796827,108.0447368
469,Buraydah,Saudi Arabia,26.331667,43.971667
470,Burbank,United States,34.1812089,-118.307201
471,Burewala,Pakistan,30.1588005,72.6796973
472,Burgas,Bulgaria,42.444553,27.2082645
473,Burgos,Spain,42.343926,-3.696977
474,Burhanpur,India,26.2697215,82.9944254
475,Bursa,Turkey,40.182737,29.0675481
476,Bushehr,Iran,28.8936645,51.3204877
477,Butembo,Congo (Democratic Republic Of The),0.14164,29.29117
478,Butterworth,Malaysia,5.3933618,100.366572
479,Butuan,Philippines,8.9483324,125.5369442
480,Buzau,Romania,45.2692581,26.7748173
481,Bydgoszcz,Poland,53.1219648,18.0002529
482,Bytom,Poland,50.3657432,18.8715325
483,Bénin,Nigeria,6.3330586,5.6221058
484,Cabanatuan,Philippines,15.4905045,120.9684264
485,Cabimas,Venezuela,10.395075,-71.4414049
486,Cabo Frio,Brazil,-22.8804369,-42.0189227
487,Cabudare,Venezuela,10.0260507,-69.2436557
488,Cachoeirinha,Brazil,-29.9493353,-51.0898927
489,Cachoeiro De Itapemirim,Brazil,-20.848084,-41.11129
490,Cadiz,Philippines,10.956652,123.3057034
491,Caen,France,49.1813403,-0.3635615
492,Cagayan De Oro,Philippines,8.4756417,124.6421532
493,Cagliari,Italy,39.2171994,9.113311
494,Cagua,Venezuela,10.1796632,-67.4606765
495,Cainta,Philippines,14.5780161,121.1163072
496,Cairns,Australia,-16.9206657,145.7721854
497,Cairo,Egypt,30.0443879,31.2357257
498,Cajamarca,Peru,-6.25,-78.833333
499,Calabar,Nigeria,4.9795999,8.3373597
500,Calabozo,Venezuela,8.9179829,-67.4173328
501,Calama,Chile,-22.4623917,-68.9272181
502,Calamba,Philippines,14.2060217,121.1556496
503,Calcutta,India,22.5726459,88.3638953
504,Calgary,Canada,51.0456064,-114.057541
505,Cali,Colombia,3.4520339,-76.5329352
506,Cam Pha,Vietnam,21.004432,107.278029
507,Cam Ranh,Vietnam,11.9166696,109.14861
508,Camagüey,Cuba,21.3791765,-77.9183681
509,Camaragibe,Brazil,-8.0213832,-34.9810768
510,Camaçari,Brazil,-12.6998188,-38.3260762
511,Cambridge,United Kingdom,52.2055314,0.1186637
512,Campeche,Mexico,19.330194,-89.9435138
513,Campina Grande,Brazil,-7.2246743,-35.8771292
514,Campinas,Brazil,-22.9056391,-47.059564
515,Campo Grande,Brazil,-20.4640173,-54.6162947
516,Campos,Brazil,-21.7546,-41.3242
517,Can Tho,Vietnam,10.0364216,105.7875219
518,Canberra,Australia,-35.2975906,149.1012676
519,Cancún,Mexico,21.1617854,-86.8510468
520,Cangzhou,China,38.3042796,116.8511597
521,Canoas,Brazil,-29.9216045,-51.1799525
522,Cap Haïtien,Haiti,19.7595236,-72.2008068
523,Cape Coast,Ghana,5.107467,-1.2430793
524,Cape Coral,United States,26.6059432,-81.9806771
525,Cape Town,South Africa,-33.928992,18.417396
526,Capiatá,Paraguay,-25.3548171,-57.4427315
527,Caracas,Venezuela,10.5060934,-66.9146008
528,Carapicuíba,Brazil,-23.5234673,-46.8406808
529,Cardiff,United Kingdom,51.4816546,-3.1791934
530,Cariacica,Brazil,-20.263202,-40.416549
531,Carmen,Mexico,18.4528233,-91.4128517
532,Carolina,Puerto Rico,18.3808516,-65.9570244
533,Carrefour,Haiti,18.5345373,-72.4092495
534,Carrollton,United States,32.9537349,-96.8902816
535,Cartagena,Colombia,10.4266746,-75.5443419
536,Cartago,Colombia,4.7465494,-75.9121234
537,Caruaru,Brazil,-8.2829702,-35.9722852
538,Cary,United States,35.7882893,-78.7812081
539,Carúpano,Venezuela,10.6493808,-63.2542332
540,Casablanca,Morocco,33.5945144,-7.6200284
541,Cascavel,Brazil,-24.9554996,-53.4560544
542,Castanhal,Brazil,-1.2927031,-47.9223903
543,Catamarca,Argentina,-27.1910825,-67.105374
544,Catanduva,Brazil,-21.1331035,-48.9712817
545,Catania,Italy,37.5023612,15.0873718
546,Catia La Mar,Venezuela,10.5990138,-67.0292735
547,Caucaia,Brazil,-3.7300563,-38.6593082
548,Cavite,Philippines,14.2554073,120.8671503
549,Caxias,Brazil,-29.1685045,-51.1796385
550,Caxias Do Sul,Brazil,-29.1685045,-51.1796385
551,Cebu,Philippines,10.2931062,123.9020773
552,Cedar Rapids,United States,41.9758872,-91.6704053
553,Celaya,Mexico,20.521788,-100.8140458
554,Chakwal,Pakistan,32.932827,72.8629763
555,Chalco,Mexico,19.2382585,-98.8188838
556,Champdani,India,22.79778,88.36583
557,Chandannagar,India,22.8639237,88.3703496
558,Chandausi,India,28.449104,78.7828513
559,Chandigarh,India,30.7298439,76.7841457
560,Chandler,United States,33.3062031,-111.8411851
561,Chandpur,Bangladesh,23.2252149,90.7111818
562,Chandrapur,India,20.0967555,79.5045475
563,Changchun,China,43.8844201,125.3180998
564,Changde,China,29.034552,111.6928724
565,Changji,China,44.0096792,87.306069
566,Changzhou,China,31.8122623,119.9691539
567,Chaohu,China,31.6261473,117.8854283
568,Chaoyang,China,41.5754767,120.4390738
569,Chaozhou,China,23.656593,116.6204223
570,Chapecó,Brazil,-27.0922364,-52.6166878
571,Charallave,Venezuela,10.2456598,-66.8586608
572,Charleroi,Belgium,50.4116459,4.4445264
573,Charleston,United States,32.7884363,-79.9399309
574,Charlotte,United States,35.2272086,-80.8430827
575,Chas,India,23.5975274,86.1679581
576,Chattanooga,United States,35.0457219,-85.3094883
577,Chavakachcheri,Sri Lanka,9.6579014,80.1643076
578,Cheboksary,Russia,56.1307195,47.2449597
579,Chelmsford,United Kingdom,51.7345329,0.4730532
580,Cheltenham,United Kingdom,51.8995685,-2.0711559
581,Chelyabinsk,Russia,55.1598408,61.4025547
582,Chemnitz,Germany,50.8322608,12.9252977
583,Chengde,China,40.9507147,117.9567031
584,Chengdu,China,30.6598628,104.0633717
585,Chenghai,China,23.4694075,116.7515585
586,Chenzhou,China,25.7733598,113.0094337
587,Cherepovets,Russia,59.128696,37.916389
588,Cherkasy,Ukraine,49.1460165,31.2271744
589,Cherkessk,Russia,44.225383,42.0681966
590,Chernihiv,Ukraine,51.272593,31.7417235
591,Chernivtsi,Ukraine,48.2864702,25.9376532
592,Chesapeake,United States,36.7183708,-76.2466798
593,Chetumal,Mexico,18.5145865,-88.3005528
594,Chhapra,India,25.7784105,84.7514507
595,Chhatarpur,India,24.75,79.75
596,Chhindwara,India,22.116667,78.8
597,Chiang Mai,Thailand,18.7882778,98.9858802
