,City,Country,Latitude,Longitude
800,Dingzhou,China,38.5112175,114.9970044
801,Diourbel,Senegal,14.7043898,-16.0511737
802,Dire Dawa,Ethiopia,9.5913193,41.8566373
803,Divinópolis,Brazil,-20.1597921,-44.8739341
804,Divo,Côte D'Ivoire,5.8294045,-5.3592251
805,Djougou,Benin,9.7106683,1.6651614
806,Do Rud,Iran,33.5048351,48.7983885
807,Dodoma,Tanzania,-6.1791181,35.7468174
808,Doha,Qatar,25.2856329,51.5264162
809,Donghai,China,34.5226778,118.7611785
810,Dongli,China,39.0856963,117.3075578
811,Dongling,China,41.7511576,123.5931891
812,Dongtai,China,32.8536216,120.3122464
813,Dongying,China,37.4334738,118.6689349
814,Dordrecht,Netherlands,51.7958812,4.6779351
815,Dortmund,Germany,51.5142273,7.4652789
816,Dos Hermanas,Spain,37.283689,-5.9226718
817,Dos Quebradas,Colombia,3.3890813,-76.6229386
818,Douala,Cameroon,4.0429408,9.706203
819,Dourados,Brazil,-22.2206145,-54.812208
820,Downey,United States,33.9404441,-118.1292846
821,Dresden,Germany,51.0493286,13.7381437
822,Drobeta Turnu Severin,Romania,44.6257835,22.6531975
823,Dubai,United Arab Emirates,25.0742823,55.1885387
824,Dublin,Ireland,53.3493795,-6.2605593
825,Dudley,United Kingdom,52.5110832,-2.0816813
826,Duisburg,Germany,51.434999,6.759562
827,Dum Dum,India,22.6520597,88.4360417
828,Duma,Syria,33.5696629,36.4012933
829,Dumaguete,Philippines,9.3054777,123.3080446
830,Dumai,Indonesia,1.6631967,101.4470369
831,Dundee,United Kingdom,56.4605938,-2.97019
832,Dunedin,New Zealand,-45.8740984,170.5035755
833,Dunhua,China,43.3686963,128.2269345
834,Duque De Caxias,Brazil,-22.7896225,-43.309929
835,Durango,Mexico,24.833333,-104.833333
836,Durban,South Africa,-29.861825,31.009909
837,Durg,India,21.1896499,81.2851077
838,Durgapur,India,23.5350475,87.3380425
839,Durham,United States,35.996653,-78.9018053
840,Durrës,Albania,41.3310569,19.4567926
841,Dushanbe,Tajikistan,38.5856947,68.7603747
842,Dzerzhinsk,Russia,56.2382157,43.4617405
843,Düsseldorf,Germany,51.2254018,6.7763137
844,East London,South Africa,-33.0191604,27.8998573
845,East Los Angeles,United States,34.0239015,-118.172015
846,Eastbourne,United Kingdom,50.7664372,0.2781546
847,Ebetsu,Japan,43.1037358,141.535894
848,Ebina,Japan,35.4530142,139.3916744
849,Ecatepec,Mexico,19.5994083,-99.0487281
850,Ede,Netherlands,52.0716825,5.7455106
851,Edinburgh,United Kingdom,55.9533456,-3.1883749
